"February 23, 2015",,,
,,,
,Client,Product/Service,Qty
,Toronto Hydro (8th floor),Average Joe,-3.00
,CSI Coffee Pub,Rwanda,-3.00
,Merchants of Green Coffee:Cafe Monday Order,Decaf Nation,-3.00
,Real Food for Real Kids,Blend X,-5.00
,The Big Carrot,Joe Bold,-5.00
,The Big Carrot,Guatemala,-5.00
,The Big Carrot,Average Joe,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Cafe Solar medium,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Blend X,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Blend X,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Joe Bold,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Sumatra,-5.00
,Merchants of Green Coffee:Cafe Monday Order,Guatemala,-5.00
,Montgomery Sisam Architechs,Joe Bold,-5.00
,Parsons Brinckerhoff Halsall Inc,Sumatra,-5.00
,The Big Carrot,Decaf Nation,-5.00
,Real Food for Real Kids,Blend X,-6.00
,Parsons Brinckerhoff Halsall Inc,El Salvador,-10.00
,Gilead Bistro,Average Joe,-15.00
,CSI Spadina,Decaf Nation,-15.00
,Parsons Brinckerhoff Halsall Inc-Richmond Hill,Choice Origin,1.00
,Merchants of Green Coffee:Cafe Monday Order,Ethiopia,5.00
,CSI Spadina,Decaf Nation,15.00
,Gilead Bistro,Average Joe,15.00
,Parsons Brinckerhoff Halsall Inc,El Salvador,10.00
,Real Food for Real Kids,Blend X,6.00
,The Big Carrot,Decaf Nation,5.00
,Real Food for Real Kids,Blend X,5.00
,The Big Carrot,Joe Bold,5.00
,The Big Carrot,Guatemala,5.00
,The Big Carrot,Average Joe,5.00
,Merchants of Green Coffee:Cafe Monday Order,Cafe Solar medium,5.00
,Merchants of Green Coffee:Cafe Monday Order,Blend X,5.00
,Merchants of Green Coffee:Cafe Monday Order,Blend X,5.00
,Merchants of Green Coffee:Cafe Monday Order,Joe Bold,5.00
,Merchants of Green Coffee:Cafe Monday Order,Sumatra,5.00
,Merchants of Green Coffee:Cafe Monday Order,Guatemala,5.00
,Montgomery Sisam Architechs,Joe Bold,5.00
,Parsons Brinckerhoff Halsall Inc,Sumatra,5.00
,Merchants of Green Coffee:Cafe Monday Order,Decaf Nation,3.00
,The Big Carrot,Cafe Solar medium,3.00
,The Big Carrot,Sumatra,3.00
,The Big Carrot,Xpresso Mild,3.00
,The Canonball,Africa Arabia,3.00
,Toronto Hydro (8th floor),Average Joe,3.00
,CSI Coffee Pub,Rwanda,3.00
,The Chefs' House,Decaf Nation,2.00
,CSI Coffee Pub,Decaf Nation,1.00
,"Raymond,  James",Decaf Nation,0.50
,Fresh on Bloor,Decaf Nation,0.50
,Fresh on Eglinton,Decaf Nation,0.50
,CSI Annex,CSI Medium Blend,20.00
,Parsons Brinckerhoff Halsall Inc-Richmond Hill,Joe Mild,3.00
,"Raymond,  James",Espresso Y,3.00
,The Chefs' House,Chef's House Blend,5.00
,CSI Coffee Pub,CSI Espresso,20.00
,CSI Coffee Pub,Brazil,3.00
,CSI Regent Park,CSI Medium Blend,5.00
,CSI Spadina,CSI Medium Blend,20.00
,Fresh on Bloor,The Fresh Blend,5.00
,Fresh on Crawford,The Fresh Blend,5.00
,Fresh on Eglinton,The Fresh Blend,5.00
,Fresh on Spadina,The Fresh Blend,5.00
,Gilead Bistro,JK Espresso,5.00
,Merchants of Green Coffee:Cafe Monday Order,Mexico,5.00
,CSI Annex,CSI Medium Blend,20.00
,CSI Spadina,CSI Medium Blend,20.00
,CSI Coffee Pub,CSI Espresso,20.00
,CSI Spadina,Decaf Nation,15.00
,Gilead Bistro,Average Joe,15.00
,Parsons Brinckerhoff Halsall Inc,El Salvador,10.00
,Real Food for Real Kids,Blend X,6.00
,Real Food for Real Kids,Blend X,5.00
,Montgomery Sisam Architechs,Joe Bold,5.00
,The Chefs' House,Chef's House Blend,5.00
,Fresh on Bloor,The Fresh Blend,5.00
,Fresh on Crawford,The Fresh Blend,5.00
,Fresh on Eglinton,The Fresh Blend,5.00
,Fresh on Spadina,The Fresh Blend,5.00
,Gilead Bistro,JK Espresso,5.00
,Parsons Brinckerhoff Halsall Inc,Sumatra,5.00
,CSI Regent Park,CSI Medium Blend,5.00
,The Big Carrot,Guatemala,5.00
,The Big Carrot,Joe Bold,5.00
,The Big Carrot,Average Joe,5.00
,The Big Carrot,Decaf Nation,5.00
,Merchants of Green Coffee:Cafe Monday Order,Blend X,5.00
,Merchants of Green Coffee:Cafe Monday Order,Guatemala,5.00
,Merchants of Green Coffee:Cafe Monday Order,Sumatra,5.00
,Merchants of Green Coffee:Cafe Monday Order,Cafe Solar medium,5.00
,Merchants of Green Coffee:Cafe Monday Order,Joe Bold,5.00
,Merchants of Green Coffee:Cafe Monday Order,Mexico,5.00
,Merchants of Green Coffee:Cafe Monday Order,Blend X,5.00
,Parsons Brinckerhoff Halsall Inc-Richmond Hill,Joe Mild,3.00
,"Raymond,  James",Espresso Y,3.00
,Toronto Hydro (8th floor),Average Joe,3.00
,Merchants of Green Coffee:Cafe Monday Order,Decaf Nation,3.00
,The Canonball,Africa Arabia,3.00
,The Big Carrot,Cafe Solar medium,3.00
,The Big Carrot,Sumatra,3.00
,The Big Carrot,Xpresso Mild,3.00
,CSI Coffee Pub,Brazil,3.00
,CSI Coffee Pub,Rwanda,3.00
,The Chefs' House,Decaf Nation,2.00
,CSI Coffee Pub,Decaf Nation,1.00
,"Raymond,  James",Decaf Nation,0.50
,Fresh on Bloor,Decaf Nation,0.50
,Fresh on Eglinton,Decaf Nation,0.50
,Cafe Fiorentina,Average Joe,0.00
,CSI Spadina,,
,Fresh on Spadina,,
,Gilead Bistro,,
,Gilead Bistro,,
,Gilead Bistro,,
